City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
304,Esim,100,GH,1603739083,87,4.87,-2.24,78.28,7.76
305,Pascagoula,1,US,1603738940,65,30.37,-88.56,80.6,3.36
306,Lakes Entrance,92,AU,1603738915,96,-37.88,147.98,52.0,11.43
307,Manono,100,CD,1603739084,83,-7.3,27.42,72.16,1.74
308,Manokwari,0,ID,1603738801,74,-0.87,134.08,79.0,5.01
309,Santiago,0,CL,1603739060,26,-33.46,-70.65,82.99,6.93
310,George Town,20,MY,1603738842,88,5.41,100.34,77.0,3.36
311,Severnoye,100,RU,1603739084,96,56.35,78.36,42.75,11.32
312,Lagoa,100,PT,1603738946,87,39.05,-27.98,67.96,24.52
313,Kapuskasing,75,CA,1603739084,58,49.42,-82.43,28.4,5.82
314,Nkhata Bay,35,MW,1603739085,72,-11.61,34.29,77.29,5.77
315,Vänersborg,100,SE,1603739085,93,58.38,12.32,50.0,6.93
316,Longyearbyen,75,SJ,1603738659,79,78.22,15.64,23.0,11.41
317,Ouadda,0,CF,1603739085,69,8.08,22.4,70.77,3.15
318,Saint George,1,US,1603738807,20,37.1,-113.58,46.0,29.97
319,Livingstone,0,ZM,1603739085,24,-17.84,25.85,79.39,5.93
320,Yangi Marg`ilon,0,UZ,1603738924,53,40.43,71.72,50.0,6.93
321,Agirish,99,RU,1603739085,96,61.92,63.02,23.47,12.03
322,Itarema,0,BR,1603739086,66,-2.92,-39.92,83.62,15.64
323,Wanaka,100,NZ,1603739072,73,-44.7,169.15,48.99,1.99
324,Llandrindod Wells,5,GB,1603739086,89,52.24,-3.38,48.0,10.0
325,Bambanglipuro,100,ID,1603739086,87,-7.95,110.28,76.75,7.56
326,Khorramshahr,0,IR,1603739086,49,30.44,48.17,71.6,2.24
327,Krasnyy Yar,0,RU,1603739086,57,46.53,48.35,48.2,4.47
328,Oranjestad,40,AW,1603738959,66,12.52,-70.03,87.8,18.34
329,Buchmany,0,UA,1603739087,80,51.07,28.04,49.57,8.79
330,Huarmey,100,PE,1603738965,65,-10.07,-78.15,70.79,11.63
331,Onguday,62,RU,1603739087,88,50.75,86.15,32.25,4.05
332,Iwaki,71,JP,1603739087,98,37.05,140.88,51.01,5.37
333,Mirante do Paranapanema,90,BR,1603739087,93,-22.29,-51.91,66.2,13.87
334,Alyangula,100,AU,1603739087,94,-13.85,136.42,77.0,5.82
335,Khovd,0,MN,1603738735,77,48.01,91.64,28.87,1.12
336,Pontalina,98,BR,1603739088,63,-17.52,-49.45,84.33,6.62
337,Kungurtug,0,RU,1603739088,84,50.6,97.52,21.38,2.44
338,Conde,40,BR,1603739088,70,-7.26,-34.91,84.2,11.41
339,Pangnirtung,75,CA,1603738829,79,66.15,-65.71,19.4,6.93
340,Tabou,84,CI,1603739088,88,4.42,-7.35,78.28,6.98
341,Juruti,41,BR,1603739088,40,-2.15,-56.09,96.12,4.85
342,Kaitangata,99,NZ,1603738895,84,-46.28,169.85,50.0,1.01
343,Sørland,75,NO,1603738953,87,67.67,12.69,48.2,23.04
344,Bagrāmī,0,AF,1603739089,26,34.49,69.27,48.2,3.36
345,Ola,97,RU,1603739089,85,59.58,151.28,32.99,14.43
346,Khvoynaya,98,RU,1603739089,91,58.9,34.53,43.99,8.41
347,Half Moon Bay,1,US,1603738918,7,37.46,-122.43,66.99,21.92
348,Yumen,100,CN,1603738936,77,40.28,97.2,30.6,3.02
349,Tokonou,100,GN,1603739089,64,9.65,-9.78,74.79,0.4
350,Takoradze,100,GH,1603738959,88,4.88,-1.76,78.24,8.32
351,Moerai,100,PF,1603739089,82,-22.43,-151.33,73.09,20.74
352,San Cristobal,40,VE,1603738945,46,7.77,-72.22,91.4,4.7
353,Laguna,1,US,1603739090,11,38.42,-121.42,69.01,18.34
354,Hualmay,97,PE,1603739090,68,-11.1,-77.61,69.57,10.04
355,Tambun,20,ID,1603739090,88,-6.26,107.07,78.01,4.7
356,Bataiporã,100,BR,1603739090,93,-22.3,-53.27,69.58,5.66
357,São João de Pirabas,2,BR,1603739090,66,-0.77,-47.18,85.28,9.62
358,Berlevåg,20,NO,1603738893,86,70.86,29.09,33.8,21.92
359,Regeneração,100,BR,1603739090,43,-6.24,-42.69,92.43,1.97
360,Kalakamati,0,BW,1603739090,21,-20.59,27.31,80.6,6.93
361,Velyka Bahachka,100,UA,1603739091,59,49.79,33.72,52.5,12.12
362,Necochea,0,AR,1603738914,49,-38.55,-58.74,62.74,6.4
363,Quryq,0,KZ,1603739091,50,43.2,51.65,54.23,10.07
364,Sinnamary,0,GF,1603739073,69,5.38,-52.95,85.06,10.49
365,Sirte,0,LY,1603739091,71,31.21,16.59,72.99,18.3
366,Jatai,100,BR,1603739049,52,-17.88,-51.71,86.09,4.92
367,Ubari,70,LY,1603739091,24,26.59,12.78,74.91,11.48
368,Rivadavia,0,AR,1603739083,26,-33.19,-68.46,78.8,14.99
369,Singaraja,100,ID,1603739092,75,-8.11,115.09,79.47,5.37
